Epoch 73, loss = 0.0207479686343, validation loss: 0.0555292729757, W square = 44.0302606686
Epoch 74, loss = 0.0205803352197, validation loss: 0.0555471625738, W square = 44.499936051
Epoch 75, loss = 0.0204156711104, validation loss: 0.0555654224896, W square = 44.968318287
Epoch 76, loss = 0.0202538928243, validation loss: 0.0555840340366, W square = 45.4354132835
Epoch 77, loss = 0.0200949198426, validation loss: 0.055602979612, W square = 45.9012268951
Epoch 78, loss = 0.0199386744981, validation loss: 0.0556222426227, W square = 46.3657649596
Epoch 79, loss = 0.0197850818715, validation loss: 0.0556418074155, W square = 46.8290333284
Epoch 80, loss = 0.0196340696942, validation loss: 0.0556616592139, W square = 47.2910378911
Epoch 81, loss = 0.0194855682568, validation loss: 0.0556817840576, W square = 47.7517845941
Epoch 82, loss = 0.0193395103202, validation loss: 0.0557021687485, W square = 48.2112794556
Epoch 83, loss = 0.0191958310303, validation loss: 0.0557228007988, W square = 48.6695285745
Epoch 84, loss = 0.0190544678339, validation loss: 0.0557436683845, W square = 49.126538137
Epoch 85, loss = 0.0189153603971, validation loss: 0.0557647603017, W square = 49.5823144188
Epoch 86, loss = 0.0187784505247, validation loss: 0.0557860659266, W square = 50.0368637848
Epoch 87, loss = 0.0186436820809, validation loss: 0.0558075751781, W square = 50.4901926864
Epoch 88, loss = 0.018511000912, validation loss: 0.0558292784841, W square = 50.9423076565
Epoch 89, loss = 0.0183803547696, validation loss: 0.0558511667494, W square = 51.3932153041
Epoch 90, loss = 0.0182516932367, validation loss: 0.0558732313271, W square = 51.8429223062
Epoch 91, loss = 0.0181249676542, validation loss: 0.0558954639912, W square = 52.2914354001
Epoch 92, loss = 0.01800013105, validation loss: 0.0559178569119, W square = 52.7387613751
Epoch 93, loss = 0.0178771380705, validation loss: 0.0559404026329, W square = 53.1849070631
Epoch 94, loss = 0.0177559449135, validation loss: 0.0559630940492, W square = 53.62987933
Epoch 95, loss = 0.0176365092636, validation loss: 0.0559859243881, W square = 54.0736850666
Epoch 96, loss = 0.0175187902301, validation loss: 0.0560088871902, W square = 54.5163311806
Epoch 97, loss = 0.0174027482869, validation loss: 0.0560319762927, W square = 54.9578245874
Epoch 98, loss = 0.0172883452153, validation loss: 0.056055185813, W square = 55.3981722032
Epoch 99, loss = 0.0171755440484, validation loss: 0.0560785101339, W square = 55.8373809367
